,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Zfp536,0.442143789,0.281210167,0.387660264,0.228701299,0,0.363481351,0.421216434,0.55942185,0.751991074,0.772956468,0.68278483,0.734492937,0.982364486,0.833771279,0.788855752,0.972345335,0.864176445,0.687712772,0.468016036,0.682220759,0.767739503,1,0.975955724,2,zf-C2H2
Zfp641,0.415086093,0.374056945,0.428020133,0.066183137,0,0.640922696,0.775124038,0.578905316,0.369197414,0.585646934,0.440753099,0.532086902,0.842864286,0.601337946,0.591551433,0.967853446,0.96802998,0.685520055,0.540449285,1,0.917337475,0.735208488,0.775853055,2,zf-C2H2
Zfp831,0.096430204,0.034308953,0,0.038444011,0.070159568,0.66167634,0.521979317,0.77972476,0.430223494,0.791240269,0.550690959,0.499112136,0.870795388,0.632386491,0.833842805,0.902809221,1,0.832972135,0.795558655,0.756620315,0.128888936,0.341728062,0.419722497,2,zf-C2H2
Zfpm2,0.154116148,0.033807722,0.149766999,0.177186167,0,0.239821727,0.559662105,0.448602064,0.215153442,0.724356518,0.747206207,0.672745378,0.807632798,0.808908363,0.568632276,0.929835025,1,0.893868049,0.363793926,0.897067375,0.899066756,0.577332109,0.637664344,2,zf-C2H2
Zim1,0.385920135,0.483719598,0.450289775,0,0.163162124,0.269654517,0.517809316,0.629077125,0.170006339,0.605542008,0.492088792,0.582084393,0.817498047,0.849078005,0.337846297,1,0.759536142,0.589810092,0.375865703,0.910445795,0.975100185,0.907775789,0.638004024,2,zf-C2H2
Ppara,0.142921701,0.429269064,0.479043471,0.241860016,0.273092051,0,0.204390628,0.251404377,0.011310298,0.708056961,0.157623036,0.548314619,1,0.847296759,0.681663765,0.966111566,0.984095259,0.859753907,0.38235774,0.651346368,0.97823485,0.868456492,0.614738806,2,THR-like
Rarb,0.462542641,0.393416417,0.411210245,0,0.059089205,0.70818216,0.86346147,0.865765715,0.506884036,0.778525749,0.749412875,0.62356655,0.680220845,0.583746965,0.655750313,0.762533676,1,0.707090472,0.731733089,0.703119991,0.691219891,0.321529965,0.355733852,2,THR-like
Thra,0.057316788,0.247737149,0.357438697,0.054890322,0.252983352,0.071843638,0.196300405,0.194938316,0,0.560393199,0.418290789,0.28057782,0.785682994,0.610289348,0.404596814,0.754581079,0.946775205,0.77887747,0.27196606,0.838932544,1,0.482139888,0.573457448,2,THR-like
Thrb,0,0.156314568,0.189979857,0.231090521,0.047381547,0.242944536,0.415587746,0.348510232,0.202400993,0.692602567,0.659097195,0.581283343,0.83818134,0.498748892,0.642257406,0.756986479,0.824899589,0.90581225,0.559280529,0.86964427,0.91418721,0.708158252,1,2,THR-like
Vdr,0,0.264431185,0.071730204,0.183482331,0.470675791,0.224605505,0.13329043,0.195139389,0.386593355,0.544334714,0.79284515,0.783739669,0.736712623,0.880318822,0.805169107,0.515051213,0.678582046,0.617843238,0.388425212,0.671321986,0.662074008,1,0.917686359,2,THR-like
Nfia,0.140755217,0.349199914,0.319405784,0.038349622,0.214916757,0.409368027,0.450934445,0.320137442,0,0.7029658,0.495167314,0.613112307,0.63711142,0.520355139,0.457517851,0.733725888,1,0.68445194,0.034186101,0.569068593,0.666942689,0.573837172,0.552237109,2,CTF/NFI
Nfib,0.187169941,0.310017045,0.291268904,0,0.137477449,0.486490179,0.573074104,0.477374749,0.291923202,0.777049825,0.62190187,0.645661637,0.763344941,0.7183049,0.606284165,0.890612471,1,0.763049855,0.393999078,0.786145993,0.881003024,0.709130879,0.714339861,2,CTF/NFI
Nfic,0,0.257006655,0.236895705,0.102031347,0.163383898,0.148454344,0.354502641,0.278743435,0.265966933,0.646161442,0.585143784,0.490432224,0.811785177,0.631150591,0.466966666,0.804848909,1,0.84540814,0.309340094,0.779687101,0.918057706,0.860097226,0.9573302,2,CTF/NFI
Nfix,0.01117397,0.120944324,0.153496347,0,0.084342137,0.400102054,0.477041487,0.436713905,0.431075262,0.827210629,0.76442949,0.728079412,0.913836428,0.811934379,0.71573124,0.927789234,1,0.953847629,0.488527281,0.905789704,0.943161927,0.910267195,0.995276624,2,CTF/NFI
Foxd3,0.526321329,0.048301196,0.006454084,0.14642525,0,0.399819863,0.488447556,0.433603985,0.971390064,0.875173518,0.691560837,0.673671511,0.89593923,1,0.85225569,0.888227565,0.605330874,0.720565831,0.659529576,0.820447499,0.830455889,0.645767098,0.511472358,2,Fork_head
Foxf2,0,0.122973515,0.149132463,0.124220699,0.054428154,0.167593452,0.194862809,0.132231627,0.035649863,0.80450461,0.801491745,0.718218465,0.800450804,0.617013591,0.739261219,0.669351624,0.800051623,0.787995567,0.142400006,0.480878316,0.461639766,0.908979253,1,2,Fork_head
Foxo6,0.17654424,0.33028082,0.302228844,0.314996678,0.273189627,0.319951021,0.41160959,0.48322385,0,0.499120836,0.476287818,0.275803932,0.678223734,0.552508095,0.587998797,0.637648299,0.636697731,0.574078893,0.169655276,0.51121095,0.402855,0.945145661,1,2,Fork_head
Foxq1,0,0.142895481,0.075883935,0.122362937,0.115107553,0.18070472,0.130268048,0.272271926,0.153300103,0.760851075,0.692606211,0.644984196,0.65342103,0.565722753,0.713278781,0.573369949,0.749301253,0.733438881,0.165150897,0.400161915,0.379789232,0.947436962,1,2,Fork_head
Ar,0,0.112538233,0.196896816,0.027727353,0.072788554,0.208187823,0.255251959,0.289019132,0.212819999,0.816815757,0.598895394,0.624368272,1,0.928404857,0.786329462,0.937056055,0.995395327,0.899584901,0.365215662,0.936192611,0.840742311,0.986891293,0.894043157,2,ESR-like
Nr3c1,0,0.184412723,0.087173207,0.037229706,0.119466686,0.23709799,0.315348949,0.231492921,0.210801142,0.652612768,0.470041212,0.578797609,0.827505585,0.775996049,0.704437606,0.7637298,0.779469647,0.713406142,0.489505878,0.679034646,0.776663603,1,0.93109631,2,ESR-like
Nr3c2,0.15950386,0.100505089,0.190065857,0,0.011674237,0.49063513,0.48544771,0.51264224,0.263545823,0.782153028,0.609101788,0.671932003,0.887802969,0.729452657,0.621371352,0.903371852,1,0.877411383,0.312941743,0.913407564,0.967374433,0.65434037,0.782784806,2,ESR-like
Pou3f1,0,0.345854549,0.347514062,0.323514548,0.372955681,0.165800501,0.201935965,0.097831449,0.694150207,1,0.669923218,0.671249478,0.818409665,0.952320224,0.711372863,0.847479029,0.60758219,0.780957685,0.447982196,0.709987278,0.901617795,0.526370871,0.604916632,2,Pou
Pou3f3,0.127128823,0.238838868,0.309660458,0,0.291562268,0.702623351,0.797204072,0.715861009,0.632562216,0.699968133,0.917634175,0.776432885,0.875436357,1,0.797776127,0.604904567,0.706983055,0.628076031,0.81638511,0.615170073,0.55206141,0.677189909,0.649102496,2,Pou
Dmrt2,0.451185276,0.373408281,0.415733419,0,0.064519007,0.280633406,0.371383789,0.365189112,0.234402842,0.497788121,0.243838518,0.272945451,0.567825613,0.57044351,0.415307493,0.814316199,0.867700697,0.762201261,0.434063383,0.907743663,1,0.25393311,0.288662877,2,DM
Elf4,0,0.19595586,0.140454816,0.2274995,0.301904585,0.040426579,0.104136088,0.118551278,0.446010445,0.514371848,0.478999076,0.523323068,0.711883381,0.642199018,0.62211978,0.703770809,0.784574334,0.742158967,0.732680772,0.825287167,1,0.888687379,0.913541667,2,ETS
Prox1,0.613630654,0.369176566,0.261423811,0.165199391,0,0.850460759,0.821253163,0.881614457,0.629405543,0.897945485,0.487213254,0.647697224,1,0.84994763,0.713513242,0.836425903,0.633905781,0.678603599,0.773838135,0.833125843,0.746238842,0.069982075,0.223872963,2,HPD
Nr4a1,0,0.167703003,0.133301503,0.123522537,0.08279863,0.3172758,0.545958842,0.470066128,0.415729286,0.59724331,0.524353092,0.522572689,0.99000616,0.645854909,0.605311989,0.770452442,0.742582796,0.690861339,0.650867912,0.650247896,0.506739185,1,0.801022307,2,NGFIB-like
Pax7,0.900728841,0.525619669,0.460610455,0,0.195905298,0.805657343,0.900015083,0.908005973,0.845822052,0.789950839,0.641601346,0.778665669,0.688547461,0.928805151,0.666611258,0.951508395,0.654355814,0.6816354,0.927514065,1,0.928115351,0.501351687,0.641442913,2,PAX
Runx3,0.151922068,0.312681162,0.293243206,0.263635222,0.423173352,0,0.037817147,0.073393948,0.417682053,0.691886352,0.735712209,0.756678772,0.897507322,0.859370112,0.868850536,0.760709036,0.817742592,0.827088266,0.416235211,0.608398309,0.655890756,0.957561025,1,2,Runt
Casz1,0.189817629,0.273842875,0.224499875,0.174616644,0,0.16080602,0.24462024,0.320389097,0.21365504,0.616702274,0.239181121,0.428147585,1,0.919013577,0.723894394,0.961553468,0.892553033,0.818749479,0.22211001,0.697477988,0.695592342,0.675453846,0.547368113,2,Others
Parp12,0,0.086725087,0.162061866,0.191275012,0.330352487,0.30973849,0.366050991,0.420516275,0.348738497,0.622404789,0.545547923,0.527087919,0.880446844,0.803206581,0.653257656,0.719303108,0.839190388,0.754180763,0.757251252,0.883866955,1,0.819169946,0.780232388,2,Others
Sox8,0.42888373,0.394761289,0.379665318,0,0.123440209,0.024832991,0.391382316,0.25071394,0.592781041,0.084656143,0.660963108,0.740753643,0.504082194,1,0.577197667,0.927118052,0.260589695,0.411608001,0.538306849,0.748388856,0.907652237,0.356284794,0.587640338,3,HMG
Barx2,0,0.336834322,0.254052363,0.46474563,0.372382966,0.347018396,0.463373469,0.449265706,0.761083462,0.922383219,0.957526492,0.761357924,0.079422814,0.302452637,0.562874574,0.366698891,0.36734208,0.268443584,1,0.26353472,0.213522467,0.546877549,0.769015416,3,Homeobox
Hhex,0.296905497,0.21369866,0.292035248,0.568710379,0.563884965,0.019179165,0,0.031228512,0.65446263,0.284892627,0.219572629,0.295433401,0.491375677,0.364298637,0.520488634,0.324617679,0.299901305,0.530439503,1,0.64283599,0.895569389,0.547443325,0.477441222,3,Homeobox
Hlx,0.103541386,0.150817522,0.201941609,0.089102589,0.125611624,0,0.296245161,0.262467617,0.483860028,0.407957928,0.46356631,0.157537678,0.455995187,0.252854256,0.496842539,0.431936157,0.654799527,0.713210709,1,0.672312768,0.715461352,0.331479229,0.553905657,3,Homeobox
Hopx,0.311432798,0.186005169,0.315279579,0.310551485,0.135875654,0.303742256,0.118615545,0.211545812,0,0.476015147,0.38602374,0.399205796,0.658084467,0.514728772,0.571647563,0.408812951,0.724139773,0.837360272,0.350204035,0.333563174,0.373448957,1,0.873153736,3,Homeobox
Hoxc9,0.368396072,0.27193254,0.267947541,0.729612035,0.508295525,0.002120377,0.27395758,0.044520931,0.113334397,0.253480651,0.125600762,0.159091373,0.400345075,0.181849612,0.121277123,0.291815854,0.498345133,0.456902123,0,0.692978695,1,0.648882356,0.397799834,3,Homeobox
Lmx1a,0.769366234,0.370230941,0.457396117,0.245665235,0,0.648056352,0.712345203,0.436844495,0.37586767,0.274801618,0.343588203,0.148559065,0.330303814,0.345566619,0.260998913,0.653480761,0.593245425,0.52311263,0.333221165,0.733213697,1,0.501554887,0.394810617,3,Homeobox
Bhlhe41,0,0.165242926,0.266827872,0.052996593,0.209305033,0.208340939,0.361612705,0.567577925,0.665105029,0.439932718,0.500457612,0.412454086,0.651227811,0.72348503,0.530956328,0.466255535,0.290948916,0.533447531,0.804200337,0.865178623,1,0.623105276,0.586233088,3,bHLH
Hand1,0.239465602,0.297164792,0.354690624,0.330782083,0.270910627,0.122165044,0.542443474,0.519988865,0.288973347,0.191748481,0.181141209,0.109758304,0.007277986,0.143986826,0.037961498,0.309124588,0.166476613,0.67211816,0.874498831,0,0.030941793,1,0.757759769,3,bHLH
Lyl1,0.195730768,0.109559565,0,0.221035643,0.142327933,0.069677015,0.140647184,0.158437826,0.652755795,0.10650704,0.360656024,0.364623104,0.470438884,0.510222086,0.632864684,0.381824832,0.329559776,0.459843515,1,0.728812886,0.966515324,0.571696773,0.619616334,3,bHLH
Mitf,0.058937162,0.105473646,0.085758355,0.036562005,0.193827227,0,0.074414848,0.027183108,0.581446522,0.467856398,0.277178844,0.442188374,0.769772088,0.832352746,0.715396599,0.596407212,0.50351801,0.610307687,0.492808203,0.709431843,0.956437953,1,0.86980503,3,bHLH
Tal1,0.677197413,0.417945213,0.501423309,0.596888191,0.591903304,0,0.150611956,0.104562474,0.747369406,0.408859291,0.505305944,0.502810198,0.595824492,0.43976586,0.799240465,0.540172785,0.565748743,0.775407675,0.986423406,0.82064442,0.953963544,1,0.887677435,3,bHLH
Tfeb,0.215288954,0.359780227,0.37261679,0.35724816,0.275862443,0.01844797,0,0.287061447,0.4925361,0.327505366,0.793531199,0.447267211,0.679128393,0.504971378,0.612463074,0.398464015,0.468855689,0.64851797,0.539171095,0.531073312,0.82046532,0.773137811,1,3,bHLH
Tfec,0.29172036,0.084557165,0.060725666,0.12958675,0.240020047,0,0.292664483,0.18483844,0.617005724,0.096514854,0.260708596,0.385838705,0.432561864,0.504218815,0.633271321,0.403834832,0.248587335,0.435340886,0.920286909,0.817775223,1,0.490507348,0.530199221,3,bHLH
Atf3,0.030659884,0.096702328,0.111867754,0.253858138,0,0.70488496,0.921092393,0.74438469,0.548102992,0.266025108,0.269842392,0.297410361,0.645378699,0.547052356,0.466355329,0.451588768,0.269066016,0.495112676,1,0.812485633,0.654524753,0.637837739,0.508272683,3,TF_bZIP
Atf5,0.40111378,0.507237256,0.467051289,0.379820804,0.590320623,0,0.153897199,0.10722017,0.225138159,0.437541774,0.33749423,0.248621942,0.723339335,0.600859678,0.435555795,0.734599049,0.790098583,0.755408025,0.385586963,0.767391126,1,0.78852327,0.824233497,3,TF_bZIP
Batf,0.078442534,0.08640123,0.055582077,0.044991153,0.060372562,0,0.092612924,0.080453519,0.495327342,0.025197864,0.286520613,0.382336395,0.35262078,0.356562778,0.631576207,0.33665111,0.283711966,0.44854347,0.806800459,0.655363426,1,0.74585771,0.841518541,3,TF_bZIP
Cebpa,0.039359401,0.040525631,0.018275082,0.052672885,0.072564592,0,0.253292193,0.15423801,0.319597444,0.449728473,0.437174942,0.406957395,0.512292271,0.530330157,0.513252439,0.470399622,0.484434339,0.454420962,0.717140219,0.72442903,1,0.650161184,0.851533347,3,TF_bZIP
Cebpb,0.135221706,0.087026339,0,0.175390667,0.220027925,0.101537079,0.277573631,0.33218385,0.579669968,0.261310583,0.420366164,0.390698966,0.70600863,0.633248942,0.660656017,0.658484853,0.664899122,0.752132408,0.835247979,0.87140674,1,0.859953309,0.917539359,3,TF_bZIP
Cebpd,0.042638088,0.136961892,0.170124919,0.291093638,0.367072924,0,0.049907016,0.078434697,0.427049545,0.285340024,0.455334529,0.422176106,0.508533667,0.476348627,0.467531773,0.488534314,0.6845985,0.639720259,0.719664182,0.638377948,1,0.607695381,0.691556634,3,TF_bZIP
Fosb,0.177345971,0.53606331,0.564148856,0.435665748,0.289324911,0.994734886,1,0.970516744,0.417906098,0,0.492012187,0.404297971,0.572165744,0.179250282,0.359785952,0.313299722,0.026470654,0.192638623,0.908435216,0.464297664,0.217456981,0.668765492,0.387246616,3,TF_bZIP
Fosl2,0,0.304889251,0.208248782,0.170103904,0.214905275,0.01032171,0.363082124,0.325676139,0.125464605,0.59504607,0.375844538,0.398655661,0.564694078,0.524342281,0.504384344,0.574424865,0.570152812,0.611959228,0.37613294,0.477699888,0.654486774,1,0.987785637,3,TF_bZIP
Maf,0.160456481,0,0.010412585,0.017147333,0.16813698,0.298217725,0.333029702,0.154963422,0.384481058,0.314700384,0.491138809,0.597584076,0.464352443,0.546759909,0.551934258,0.482305327,0.447347484,0.433362773,0.781650396,0.749407761,1,0.530629942,0.508836091,3,TF_bZIP
Zbtb20,0.31601567,0.373054298,0.462334807,0.192652553,0.171179674,0,0.322680622,0.369631257,0.411071687,0.30107839,0.303964447,0.495332541,0.558221189,0.580756389,0.626255697,0.748825386,0.785607393,0.576921076,0.22187711,0.236938972,0.623990648,1,0.910920576,3,ZBTB
Zbtb7b,0.288480826,0.180700625,0.233605668,0.356829037,0.419670221,0,0.213568357,0.276678264,0.607859144,0.27270566,0.400710631,0.479761387,0.494145008,0.493948424,0.674042139,0.456653217,0.467747753,0.539481637,0.929757673,0.792742814,1,0.87925014,0.878554814,3,ZBTB
Fezf2,0.286679705,0.270690554,0.217667488,0.188052451,0.356612219,0.715986801,1,0.876898773,0.693538121,0.496341992,0.272826693,0.250153409,0.24514668,0.329351419,0.232664586,0.522967614,0.491732637,0.441692311,0.644492499,0.524252386,0.530721469,0,0.05805039,3,zf-C2H2
Gfi1,0.164710627,0.12641112,0.004953929,0.210787204,0.174301067,0,0.038559293,0.020284043,0.398973826,0.025518018,0.130764139,0.222614051,0.453084955,0.602146638,0.72916589,0.415421968,0.435437006,0.559442403,0.759367006,0.590181942,0.906815075,0.924330404,1,3,zf-C2H2
Ikzf1,0.295897844,0.127782686,0.116269242,0.236704756,0.390308829,0.293184232,0.374541798,0.255793718,0.760249695,0,0.418756986,0.531031738,0.450003362,0.536646148,0.844441439,0.511390478,0.409628998,0.599641155,0.940085187,0.776707216,0.927488686,1,0.946318771,3,zf-C2H2
Klf2,0,0.132418368,0.246425787,0.362692407,0.224150552,0.196917371,0.44245961,0.463818643,0.52863079,0.325792868,0.633918431,0.507102425,0.663258157,0.492091969,0.629981851,0.479711574,0.499856908,0.608709006,0.994594006,0.595240433,0.722144883,0.958881714,1,3,zf-C2H2
Klf5,0.271717886,0.400061693,0.399531985,0.396823855,0.550215222,0,0.07964393,0.096022447,0.088340833,0.571310966,0.508265551,0.478013318,0.388681843,0.483203398,0.39122342,0.40993578,0.446008949,0.498089803,0.432584929,0.291460534,0.350408979,0.963148076,1,3,zf-C2H2
Zic1,0.358110767,0.980574386,1,0.449413082,0.082968723,0.176523533,0.290283586,0.046441383,0.284507077,0,0.062651684,0.038467906,0.456683385,0.389838464,0.102855705,0.604972505,0.426209508,0.354240294,0.2477545,0.716323924,0.686490407,0.552173376,0.326466725,3,zf-C2H2
Gata1,0.463125858,0.296564493,0.221097894,0.378685099,0.338593641,0,0.108968029,0.258265453,0.546068826,0.015798298,0.363040573,0.334746625,0.344769597,0.291164792,0.816311367,0.43989579,0.402670767,0.659574444,0.708720308,0.593660688,0.789711533,1,0.981381387,3,zf-GATA
Gata2,0,0.079198025,0.076519148,0.076066794,0.157284507,0.050869813,0.063113661,0.057590609,0.35845398,0.085879571,0.312356024,0.404538253,0.302159487,0.352173536,0.755422213,0.4728365,0.437863745,0.612138898,0.462423763,0.594824615,0.725031612,1,0.979632262,3,zf-GATA
Irf4,0.099228106,0,0.002074352,0.13489136,0.084724521,0.149464203,0.387739414,0.38203296,0.44320727,0.216865219,0.328141133,0.310440486,0.465207719,0.463744932,0.501040621,0.574587155,0.391201746,0.687819964,0.645431531,0.603337319,0.788177551,1,0.749200606,3,IRF
Irf5,0.191756223,0.40323963,0.333077982,0.372800189,0.40161339,0.049993505,0.237118204,0.187521637,0.613576729,0,0.331170924,0.455495846,0.408470646,0.449404972,0.577344247,0.332435901,0.232858127,0.477590577,0.906156875,0.811635358,1,0.523091093,0.562675547,3,IRF
Irf7,0.225900195,0,0.005519241,0.117526437,0.241878901,0.075260019,0.240326406,0.167958962,0.738779513,0.426931178,0.396451364,0.346346179,0.400648719,0.837039062,0.771847402,0.38120441,0.464502906,0.60625244,0.917328691,0.808262916,0.973705629,0.967729759,1,3,IRF
Irf8,0.291888742,0.029549682,0,0.176205208,0.234647144,0.176480448,0.309928313,0.236684615,0.669838758,0.077204803,0.245737512,0.402012616,0.415862657,0.453702303,0.555177782,0.433965135,0.285473905,0.415865285,0.976017729,0.820691378,1,0.470080014,0.517026634,3,IRF
Sp100,0.214262754,0,0.065419901,0.327648981,0.175434266,0.201279702,0.165740806,0.319142823,0.666414712,0.128894684,0.343377459,0.574861538,0.461032043,0.46319106,0.593165665,0.483370708,0.259037052,0.546808282,0.796358296,0.771112919,0.911192918,0.836497617,1,3,SAND
Sp110,0.171442015,0.017879908,0,0.082140949,0.189123466,0.144676273,0.23428806,0.21751499,0.710613249,0.018900873,0.304822727,0.34919584,0.366947269,0.419763783,0.560372057,0.293317308,0.130233168,0.294000367,1,0.716699838,0.932283454,0.426056829,0.591537828,3,SAND
Sp140,0.172253355,0.181664202,0.17755566,0.411907685,0.330882617,0.033526611,0.21642688,0.233549439,0.628324264,0,0.221038807,0.386371495,0.359865841,0.509745078,0.623722598,0.21225525,0.097637642,0.338294523,1,0.676126811,0.9977142,0.55012469,0.647480049,3,SAND
Stat5a,0.159213193,0.296976556,0.226021625,0,0.201516153,0.109703441,0.226155444,0.090508694,0.411854068,0.105989189,0.187574848,0.359799647,0.576755767,0.664337337,0.542928037,0.65737106,0.610178269,0.680387892,0.810728282,0.738023292,1,0.869851948,0.929877202,3,STAT
Stat6,0.219308349,0.289105143,0.224445298,0.233379849,0.242367082,0,0.157119783,0.177632647,0.506723033,0.383281886,0.316833606,0.334229579,0.54690628,0.493699067,0.559550047,0.525458049,0.58902971,0.598275124,0.8565396,0.727271461,1,0.796807064,0.800096921,3,STAT
Elf1,0.21320466,0.535640211,0.471535903,0.478263058,0.725595217,0.059241873,0.135577253,0,0.335853915,0.372077994,0.296552355,0.347540551,0.323119993,0.279309132,0.507863191,0.232256872,0.212276064,0.415113295,0.821730961,0.423873103,0.809060496,1,0.924810228,3,ETS
Spi1,0.272642792,0.00434797,0,0.228824068,0.188000496,0.153404873,0.288664847,0.224000254,0.691696562,0.029452543,0.356089365,0.422602121,0.45095216,0.502264912,0.613169551,0.406213414,0.267931473,0.516585983,0.968804573,0.846221232,1,0.545504309,0.64971626,3,ETS
Mef2c,0.297694983,0.148374364,0.096035533,0.129959689,0.297494553,0.271648387,0.431154625,0,0.54127012,0.560692035,0.657507101,0.839474326,0.510761202,0.708624285,0.637179057,0.550425067,0.51256581,0.537669696,0.76431406,0.682515157,1,0.453533926,0.494257223,3,SRF
Tead4,0.095202582,0.181945595,0.154752016,0.380808925,0.419383068,0.100229955,0.426146832,0.387867792,0,0.241066284,0.173753096,0.477536753,0.577947942,0.805489733,0.127851425,1,0.380465884,0.758220358,0.872207765,0.98693532,0.874928684,0.647074843,0.579184338,3,TEA
Pou2f2,0.564889262,0.555385634,0.564477675,0.550210829,0.525915658,0.352644698,0.421508937,0.406313804,0.7079591,0,0.222230096,0.397320582,0.465862906,0.423957948,0.536303981,0.388369314,0.339849982,0.437479992,0.916472107,0.803374905,1,0.576537184,0.557884403,3,Pou
Relb,0.220351311,0.350802552,0.478255975,0.391199527,0.383653144,0,0.154290786,0.172788696,0.318052216,0.58325469,0.465703347,0.315377637,0.570801785,0.565855324,0.319871915,0.594979025,0.896465194,0.608820373,0.433804311,0.670328721,0.891243269,0.682580969,1,3,RHD
Runx1,0.161363622,0.280170712,0.251030907,0.245220672,0.302883754,0.426667893,0.613090892,0.353682409,0.640917688,0.107552258,0.211027528,0.277704974,0.089931805,0.142841048,0.375066687,0.338329578,0,0.118702522,1,0.50300192,0.739010881,0.744143595,0.620512892,3,Runt
Arid5a,0.452642249,0.582056756,0.446465027,0.301375092,0.440288423,0,0.277361754,0.221753761,0.62316276,0.238465066,0.511486103,0.597813469,0.586856834,0.738618117,0.585973141,0.672096939,0.481540097,0.567039725,0.83036262,0.722753736,1,0.699053524,0.833818356,3,ARID
Csrnp1,0.147483607,0.276514441,0.2253375,0.145255303,0.054063506,0.097890282,0.550210905,0.268277964,0.369613439,0.115792183,0.121577762,0,0.547492412,0.270570044,0.381474698,0.556215194,0.535889494,0.601876649,0.687712677,0.521592068,0.645106027,1,0.693932104,3,CSRNP_N
Pparg,0,0.088431315,0.029033144,0.110747174,0.128096182,0.060491236,0.273588719,0.199446992,0.272412902,0.459340142,0.231847355,0.283081811,0.500300034,0.502293308,0.388602657,0.59925097,0.596317913,0.711238806,0.658390321,0.726245163,1,0.687041753,0.643470311,3,THR-like
Rorc,0.036216532,0.076305859,0,0.180023876,0.025645006,0.258057731,0.307755737,0.045561614,0.657991634,0.22769693,0.414855171,0.450416932,0.382718467,0.415784489,0.645431882,0.354851207,0.313487664,0.223525375,1,0.468654637,0.648771839,0.251779948,0.355399189,3,THR-like
Plek,0.36560417,0.149815547,0.167541643,0.327024642,0.321071148,0.29959884,0.617412065,0.340090966,0.528872317,0,0.205661879,0.353503114,0.397681973,0.524974151,0.436040315,0.364296823,0.078797584,0.296238277,0.866813906,0.787977845,1,0.29243813,0.32037629,3,Others
Zfp750,0.061236848,0.422206225,0.361167534,0.526063817,0.517859209,0,0.107969998,0.131781341,0.051709517,0.716215688,0.705358066,0.687698126,0.320474358,0.408907482,0.513609818,0.178875802,0.429504166,0.441467749,0.2403094,0.176316011,0.394500704,0.839900574,1,3,Others